Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Calories,TotalSteps,TotalDistance,,,,,,,,,,,
1503960366,4/12/2016,1,327,346,1985,13162,8.50,,,Number of Blanck values,Number unique values,,,TotalMinutesAsleep,TotalTimeInBed,Calories,TotalSteps,TotalDistance
1503960366,4/13/2016,2,384,407,1797,10735,6.97,,,0,24,,Mean,419.5,458.6,2397.6,8541.1,6.0
1503960366,4/15/2016,1,412,442,1745,9762,6.28,,,,,,Min,58,61,257,17,0.01
1503960366,4/16/2016,2,340,367,1863,12669,8.16,,,,,,Max,796,961,4900,22770,17.54
1503960366,4/17/2016,1,700,712,1728,9705,6.48,,,,,,,,,,,
1503960366,4/19/2016,1,304,320,2035,15506,9.88,,,,,,,,,,,
1503960366,4/20/2016,1,360,377,1786,10544,6.68,,,,,,,,,,,
1503960366,4/21/2016,1,325,364,1775,9819,6.34,,,,,,,,,,,
1503960366,4/23/2016,1,361,384,1949,14371,9.04,,,,,,,,,,,
1503960366,4/24/2016,1,430,449,1788,10039,6.41,,,,,,,,,,,
1503960366,4/25/2016,1,277,323,2013,15355,9.80,,,,,,,,,,,
1503960366,4/26/2016,1,245,274,1970,13755,8.79,,,,,,,,,,,
1503960366,4/28/2016,1,366,393,1898,13154,8.53,,,,,,,,,,,
1503960366,4/29/2016,1,341,354,1837,11181,7.15,,,,,,,,,,,
1503960366,4/30/2016,1,404,425,1947,14673,9.25,,,,,,,,,,,
1503960366,5/1/2016,1,369,396,1820,10602,6.81,,,,,,,,,,,
1503960366,5/2/2016,1,277,309,2004,14727,9.71,,,,,,,,,,,
1503960366,5/3/2016,1,273,296,1990,15103,9.66,,,,,,,,,,,
1503960366,5/5/2016,1,247,264,1959,14070,8.90,,,,,,,,,,,
1503960366,5/6/2016,1,334,367,1896,12159,8.03,,,,,,,,,,,
1503960366,5/7/2016,1,331,349,1821,11992,7.71,,,,,,,,,,,
1503960366,5/8/2016,1,594,611,1740,10060,6.58,,,,,,,,,,,
1503960366,5/9/2016,1,338,342,1819,12022,7.72,,,,,,,,,,,
1503960366,5/10/2016,1,383,403,1859,12207,7.77,,,,,,,,,,,
1503960366,5/11/2016,1,285,306,1783,12770,8.13,,,,,,,,,,,
1644430081,4/29/2016,1,119,127,2498,3176,2.31,,,,,,,,,,,
1644430081,4/30/2016,1,124,142,3846,18213,13.24,,,,,,,,,,,
1644430081,5/2/2016,1,796,961,2580,3758,2.73,,,,,,,,,,,
1644430081,5/8/2016,1,137,154,2987,6724,4.89,,,,,,,,,,,
1844505072,4/15/2016,1,644,961,1725,3844,2.54,,,,,,,,,,,
1844505072,4/30/2016,1,722,961,1763,4014,2.67,,,,,,,,,,,
1844505072,5/1/2016,1,590,961,1541,2573,1.70,,,,,,,,,,,
1927972279,4/12/2016,3,750,775,2220,678,0.47,,,,,,,,,,,
1927972279,4/13/2016,1,398,422,2151,356,0.25,,,,,,,,,,,
1927972279,4/15/2016,2,475,499,2221,980,0.68,,,,,,,,,,,
1927972279,4/26/2016,1,296,315,2638,3761,2.60,,,,,,,,,,,
1927972279,4/28/2016,1,166,178,2351,1675,1.16,,,,,,,,,,,
2026352035,4/12/2016,1,503,546,1459,4414,2.74,,,,,,,,,,,
2026352035,4/13/2016,1,531,565,1521,4993,3.10,,,,,,,,,,,
2026352035,4/14/2016,1,545,568,1431,3335,2.07,,,,,,,,,,,
2026352035,4/15/2016,1,523,573,1444,3821,2.37,,,,,,,,,,,
2026352035,4/16/2016,1,524,567,1373,2547,1.58,,,,,,,,,,,
2026352035,4/17/2016,1,437,498,1214,838,0.52,,,,,,,,,,,
2026352035,4/19/2016,1,498,540,1356,2424,1.50,,,,,,,,,,,
2026352035,4/20/2016,1,461,510,1667,7222,4.48,,,,,,,,,,,
2026352035,4/21/2016,1,477,514,1370,2467,1.53,,,,,,,,,,,
2026352035,4/22/2016,1,520,545,1399,2915,1.81,,,,,,,,,,,
2026352035,4/23/2016,1,522,554,1916,12357,7.71,,,,,,,,,,,
2026352035,4/24/2016,1,555,591,1401,3490,2.16,,,,,,,,,,,
2026352035,4/25/2016,1,506,531,1576,6017,3.73,,,,,,,,,,,
2026352035,4/27/2016,1,508,545,1593,6088,3.77,,,,,,,,,,,
2026352035,4/28/2016,1,513,545,1649,6375,3.95,,,,,,,,,,,
2026352035,4/29/2016,1,490,510,1692,7604,4.71,,,,,,,,,,,
2026352035,4/30/2016,1,573,607,1506,4729,2.93,,,,,,,,,,,
2026352035,5/1/2016,1,527,546,1447,3609,2.28,,,,,,,,,,,
2026352035,5/2/2016,1,511,543,1690,7018,4.35,,,,,,,,,,,
2026352035,5/4/2016,1,538,560,1658,6564,4.07,,,,,,,,,,,
2026352035,5/5/2016,1,468,485,1926,12167,7.54,,,,,,,,,,,
2026352035,5/6/2016,1,524,548,1736,8198,5.08,,,,,,,,,,,
2026352035,5/7/2016,1,511,521,1491,4193,2.60,,,,,,,,,,,
2026352035,5/8/2016,1,541,568,1555,5528,3.45,,,,,,,,,,,
2026352035,5/9/2016,1,531,556,1869,10685,6.62,,,,,,,,,,,
2026352035,5/10/2016,1,357,380,1141,254,0.16,,,,,,,,,,,
2026352035,5/11/2016,1,523,553,1698,8580,5.32,,,,,,,,,,,
2026352035,5/12/2016,1,456,485,1364,8891,5.51,,,,,,,,,,,
2320127002,4/23/2016,1,61,69,1804,5079,3.42,,,,,,,,,,,
2347167796,4/13/2016,1,467,531,2038,10352,7.01,,,,,,,,,,,
2347167796,4/14/2016,1,445,489,2010,10129,6.70,,,,,,,,,,,
2347167796,4/15/2016,1,452,504,2133,10465,6.92,,,,,,,,,,,
2347167796,4/17/2016,1,556,602,1882,5472,3.62,,,,,,,,,,,
2347167796,4/18/2016,1,500,557,1944,8247,5.45,,,,,,,,,,,
2347167796,4/19/2016,1,465,514,2346,6711,4.44,,,,,,,,,,,
2347167796,4/21/2016,1,460,484,2048,10080,6.75,,,,,,,,,,,
2347167796,4/22/2016,1,405,461,1946,7804,5.16,,,,,,,,,,,
2347167796,4/23/2016,1,374,386,2629,16901,11.37,,,,,,,,,,,
2347167796,4/24/2016,1,442,459,2187,9471,6.26,,,,,,,,,,,
2347167796,4/25/2016,1,433,471,2095,9482,6.38,,,,,,,,,,,
2347167796,4/26/2016,1,436,490,1861,5980,3.95,,,,,,,,,,,
2347167796,4/27/2016,1,448,499,2194,11423,7.58,,,,,,,,,,,
2347167796,4/28/2016,1,408,450,1854,5439,3.60,,,,,,,,,,,
2347167796,4/29/2016,1,411,473,403,42,0.03,,,,,,,,,,,
3977333714,4/12/2016,1,274,469,1450,8856,5.98,,,,,,,,,,,
3977333714,4/13/2016,2,295,456,1495,10035,6.71,,,,,,,,,,,
3977333714,4/14/2016,1,291,397,1433,7641,5.11,,,,,,,,,,,
3977333714,4/15/2016,1,424,556,1468,9010,6.06,,,,,,,,,,,
3977333714,4/16/2016,1,283,510,1625,13459,9.00,,,,,,,,,,,
3977333714,4/17/2016,1,381,566,1529,10415,6.97,,,,,,,,,,,
3977333714,4/18/2016,2,412,522,1584,11663,7.80,,,,,,,,,,,
3977333714,4/19/2016,1,219,395,1638,12414,8.78,,,,,,,,,,,
3977333714,4/20/2016,2,152,305,1554,11658,7.83,,,,,,,,,,,
3977333714,4/21/2016,1,332,512,1397,6093,4.08,,,,,,,,,,,
3977333714,4/22/2016,1,355,476,1481,8911,5.96,,,,,,,,,,,
3977333714,4/23/2016,1,235,372,1638,12058,8.07,,,,,,,,,,,
3977333714,4/24/2016,1,310,526,1655,14112,10.00,,,,,,,,,,,
3977333714,4/25/2016,1,262,467,1570,11177,8.48,,,,,,,,,,,
3977333714,4/26/2016,1,250,371,1551,11388,7.62,,,,,,,,,,,
3977333714,4/27/2016,1,349,540,1377,7193,5.04,,,,,,,,,,,
3977333714,4/28/2016,1,261,423,1407,7114,4.88,,,,,,,,,,,
3977333714,4/29/2016,1,333,478,1545,10645,7.75,,,,,,,,,,,
3977333714,4/30/2016,1,237,382,1650,13238,9.20,,,,,,,,,,,
3977333714,5/1/2016,1,383,626,1501,10414,7.07,,,,,,,,,,,
3977333714,5/2/2016,1,230,384,1760,16520,11.05,,,,,,,,,,,
3977333714,5/3/2016,1,292,500,1710,14335,9.59,,,,,,,,,,,
3977333714,5/4/2016,1,213,336,1628,13559,9.44,,,,,,,,,,,
3977333714,5/5/2016,1,318,480,1618,12312,8.58,,,,,,,,,,,
3977333714,5/6/2016,1,323,512,1590,11677,8.28,,,,,,,,,,,
3977333714,5/7/2016,1,237,443,1574,11550,7.73,,,,,,,,,,,
3977333714,5/8/2016,2,259,456,1633,13585,9.09,,,,,,,,,,,
3977333714,5/10/2016,1,312,452,1630,13072,8.78,,,,,,,,,,,
4020332650,4/12/2016,1,501,541,3654,8539,6.12,,,,,,,,,,,
4020332650,4/16/2016,1,77,77,3051,1982,1.42,,,,,,,,,,,
4020332650,5/3/2016,1,322,332,2828,4496,3.22,,,,,,,,,,,
4020332650,5/4/2016,1,478,536,3879,10252,7.35,,,,,,,,,,,
4020332650,5/5/2016,1,226,248,3429,11728,8.43,,,,,,,,,,,
4020332650,5/6/2016,1,385,408,2704,4369,3.13,,,,,,,,,,,
4020332650,5/8/2016,1,364,402,3089,5862,4.20,,,,,,,,,,,
4020332650,5/10/2016,1,442,494,2926,5546,3.98,,,,,,,,,,,
4319703577,4/14/2016,1,535,557,2302,10210,6.88,,,,,,,,,,,
4319703577,4/15/2016,1,465,491,1985,5664,3.80,,,,,,,,,,,
4319703577,4/16/2016,1,506,522,1884,4744,3.18,,,,,,,,,,,
4319703577,4/18/2016,1,515,551,1632,2276,1.55,,,,,,,,,,,
4319703577,4/19/2016,2,461,498,2200,8925,5.99,,,,,,,,,,,
4319703577,4/20/2016,1,523,543,2220,8954,6.01,,,,,,,,,,,
4319703577,4/21/2016,1,59,65,1792,3702,2.48,,,,,,,,,,,
4319703577,4/22/2016,1,533,550,1886,4500,3.02,,,,,,,,,,,
4319703577,4/23/2016,1,692,722,1945,4935,3.31,,,,,,,,,,,
4319703577,4/24/2016,1,467,501,1880,4081,2.74,,,,,,,,,,,
4319703577,4/25/2016,1,488,506,2314,9259,6.21,,,,,,,,,,,
4319703577,4/26/2016,1,505,516,2236,9899,6.64,,,,,,,,,,,
4319703577,4/27/2016,1,286,307,2324,10780,7.23,,,,,,,,,,,
4319703577,4/28/2016,1,497,522,2367,10817,7.28,,,,,,,,,,,
4319703577,4/29/2016,1,523,546,2175,7990,5.36,,,,,,,,,,,
4319703577,4/30/2016,1,490,516,2092,8221,5.52,,,,,,,,,,,
4319703577,5/1/2016,1,484,500,1593,1251,0.84,,,,,,,,,,,
4319703577,5/2/2016,1,478,506,2270,9261,6.24,,,,,,,,,,,
4319703577,5/3/2016,1,474,512,2235,9648,6.47,,,,,,,,,,,
4319703577,5/6/2016,1,450,491,2266,9524,6.42,,,,,,,,,,,
4319703577,5/7/2016,1,507,530,2158,7937,5.33,,,,,,,,,,,
4319703577,5/8/2016,1,602,638,1792,3672,2.46,,,,,,,,,,,
4319703577,5/9/2016,1,535,565,2345,10378,6.96,,,,,,,,,,,
4319703577,5/10/2016,1,487,517,2260,9487,6.37,,,,,,,,,,,
4319703577,5/11/2016,1,529,558,2232,9129,6.13,,,,,,,,,,,
4319703577,5/12/2016,1,302,321,257,17,0.01,,,,,,,,,,,
4388161847,4/15/2016,1,499,526,3066,8758,6.73,,,,,,,,,,,
4388161847,4/16/2016,2,426,448,3073,6580,5.06,,,,,,,,,,,
4388161847,4/17/2016,2,619,641,2572,4660,3.58,,,,,,,,,,,
4388161847,4/18/2016,1,99,104,3274,11009,9.10,,,,,,,,,,,
4388161847,4/19/2016,1,329,338,3015,10181,7.83,,,,,,,,,,,
4388161847,4/20/2016,1,421,451,3083,10553,8.12,,,,,,,,,,,
4388161847,4/21/2016,1,442,458,3069,10055,7.73,,,,,,,,,,,
4388161847,4/22/2016,1,82,85,3544,12139,9.34,,,,,,,,,,,
4388161847,4/23/2016,1,478,501,3306,13236,10.18,,,,,,,,,,,
4388161847,4/24/2016,3,552,595,2885,10243,7.88,,,,,,,,,,,
4388161847,4/26/2016,1,319,346,2929,9461,7.28,,,,,,,,,,,
4388161847,4/27/2016,1,439,500,3074,11193,8.61,,,,,,,,,,,
4388161847,4/28/2016,1,428,458,2969,10074,7.75,,,,,,,,,,,
4388161847,4/30/2016,2,409,430,3283,12533,9.64,,,,,,,,,,,
4388161847,5/1/2016,1,547,597,2926,10255,7.89,,,,,,,,,,,
4388161847,5/2/2016,2,368,376,3147,10096,8.40,,,,,,,,,,,
4388161847,5/4/2016,1,390,414,3162,12375,9.52,,,,,,,,,,,
4388161847,5/5/2016,1,471,495,2899,9603,7.38,,,,,,,,,,,
4388161847,5/5/2016,1,471,495,2899,9603,7.38,,,,,,,,,,,
4388161847,5/7/2016,1,472,496,4022,22770,17.54,,,,,,,,,,,
4388161847,5/8/2016,2,529,541,3934,17298,14.38,,,,,,,,,,,
4388161847,5/9/2016,1,62,65,3013,10218,7.86,,,,,,,,,,,
4388161847,5/10/2016,1,354,375,3061,10299,7.92,,,,,,,,,,,
4388161847,5/11/2016,1,469,494,2954,10201,7.84,,,,,,,,,,,
4445114986,4/12/2016,2,429,457,2113,3276,2.20,,,,,,,,,,,
4445114986,4/13/2016,2,370,406,2095,2961,1.99,,,,,,,,,,,
4445114986,4/14/2016,1,441,492,2194,3974,2.67,,,,,,,,,,,
4445114986,4/15/2016,2,337,379,2496,7198,4.83,,,,,,,,,,,
4445114986,4/16/2016,1,462,499,2180,3945,2.65,,,,,,,,,,,
4445114986,4/17/2016,1,98,107,1933,2268,1.52,,,,,,,,,,,
4445114986,4/19/2016,2,388,424,1954,2064,1.39,,,,,,,,,,,
4445114986,4/20/2016,1,439,462,1974,2072,1.39,,,,,,,,,,,
4445114986,4/21/2016,1,436,469,2150,3809,2.56,,,,,,,,,,,
4445114986,4/22/2016,1,388,417,2432,6831,4.58,,,,,,,,,,,
4445114986,4/25/2016,1,328,345,2070,3385,2.27,,,,,,,,,,,
4445114986,4/26/2016,2,353,391,2291,6326,4.41,,,,,,,,,,,
4445114986,4/27/2016,1,332,374,2361,7243,5.03,,,,,,,,,,,
4445114986,4/28/2016,1,419,442,2203,4493,3.01,,,,,,,,,,,
4445114986,4/29/2016,1,106,108,2196,4676,3.14,,,,,,,,,,,
4445114986,4/30/2016,1,322,353,2363,6222,4.18,,,,,,,,,,,
4445114986,5/1/2016,2,439,459,2246,5232,3.51,,,,,,,,,,,
4445114986,5/2/2016,1,502,542,2336,6910,4.75,,,,,,,,,,,
4445114986,5/3/2016,2,417,450,2421,7502,5.18,,,,,,,,,,,
4445114986,5/4/2016,2,337,363,2070,2923,1.96,,,,,,,,,,,
4445114986,5/5/2016,2,462,513,2120,3800,2.55,,,,,,,,,,,
4445114986,5/6/2016,2,374,402,2211,4514,3.03,,,,,,,,,,,
4445114986,5/7/2016,2,401,436,2123,5183,3.59,,,,,,,,,,,
4445114986,5/8/2016,1,361,391,2423,7303,4.90,,,,,,,,,,,
4445114986,5/9/2016,1,457,533,2281,5275,3.54,,,,,,,,,,,
4445114986,5/10/2016,1,405,426,2181,3915,2.63,,,,,,,,,,,
4445114986,5/11/2016,1,499,530,2499,9105,6.11,,,,,,,,,,,
4445114986,5/12/2016,1,483,501,1212,768,0.52,,,,,,,,,,,
4558609924,4/21/2016,1,126,137,2486,13743,9.08,,,,,,,,,,,
4558609924,4/26/2016,1,103,121,2223,9148,6.05,,,,,,,,,,,
4558609924,4/29/2016,1,171,179,1918,7833,5.18,,,,,,,,,,,
4558609924,5/1/2016,1,115,129,1692,3428,2.27,,,,,,,,,,,
4558609924,5/8/2016,1,123,134,2666,6543,4.33,,,,,,,,,,,
4702921684,4/12/2016,1,425,439,2947,7213,5.88,,,,,,,,,,,
4702921684,4/13/2016,2,400,430,2898,6877,5.58,,,,,,,,,,,
4702921684,4/14/2016,1,384,415,2984,7860,6.37,,,,,,,,,,,
4702921684,4/15/2016,1,253,257,2896,6506,5.28,,,,,,,,,,,
